muonID	time	pos_x	pos_y	pos_z
7	20680	165.423	26.2004	-65.56
64	425	148.627	23.5403	-61.76
90	1235	167.487	26.5274	-53.476
90	1232.5	167.3	26.4977	-53.476
90	1235	167.112	26.4679	-53.476
16	21540	169.088	26.7809	-51.88
73	2670	224.233	35.515	-11.6
51	335	261.472	41.4131	-45.04
88	12670	273.104	43.2554	-27.94
45	4240	257.09	40.7191	-73.54
45	4240	254.838	40.3624	-73.54
45	4240	254.191	40.2598	-73.54
94	4860	280.736	44.4642	-60.81
59	1020	146.536	23.2091	-111.06
59	1020	137.716	21.8121	-180.03
17	5395	221.998	35.161	-143.74
45	4245	238.887	37.836	-160.46
85	2500	180.799	28.6357	39.91
50	645	157.763	24.9872	28.13
1	1775	173.565	27.4901	11.6
27	12255	155.852	24.6846	89.31
14	90	198.779	31.4835	47.7
99	16195	223.687	35.4285	29.84
84	16490	232.872	36.8833	12.93
26	7635	276.982	43.8697	84.75
14	90	259.134	41.0428	60.81
9	3945	112.503	17.8187	113.91
23	2320	121.51	19.2454	111.44
23	2320	130.33	20.6423	173.95
19	5005	123.618	19.5792	157.04
23	2320	231.568	36.6768	140.32
99	16200	206.347	32.6821	134.81
29	9695	254.776	40.3525	137.28
53	1940	282.425	44.7317	107.07
23	2320	210.493	33.3388	186.68
2	5005	274.543	43.4833	159.51
7	20680	169.667	55.1281	-63.66
64	425	165.737	53.8513	-57.58
90	1232.5	204.097	66.315	-45.23
59	1015	261.854	85.0816	-46.75
73	2670	237.617	77.2064	-10.08
73	2675	204.368	66.4031	-75.63
73	2672.5	204.187	66.3444	-75.63
45	4240	235.719	76.5899	-70.88
94	4860	256.952	83.4887	-57.58
57	460	99.0466	32.1822	-118.09
59	1020	174.338	56.6459	-116.38
59	1020	159.032	51.6727	-183.64
17	5395	201.657	65.5224	-137.47
59	1020	238.848	77.6065	-128.54
45	4245	222.076	72.157	-158.56
59	1020	237.423	77.1433	-193.9
27	12255	156.216	50.7576	87.03
85	2500	202.48	65.7899	43.9
85	2500	202.48	65.7899	36.0071
99	16195	199.127	64.7004	26.8
1	1775	193.947	63.0173	9.89
44	4950	255.867	83.1364	42.95
84	16490	265.032	86.114	8.94
5	5225	191.032	62.0701	86.08
26	7635	265.987	86.4243	81.52
13	3275	257.091	83.5338	55.87
9	3945	107.692	34.9914	120.56
23	2320	134.136	43.5834	116.38
2	5005	129.291	42.0093	100.61
19	5005	142.578	46.3265	161.896
19	5005	142.578	46.3265	161.064
19	5005	142.578	46.3265	159.13
19	5005	142.578	46.3265	156.629
5	5225	199.12	64.6979	141.27
23	2320	197.031	64.0194	132.34
23	2320	196.056	63.7023	132.34
23	2320	195.266	63.4459	132.34
99	16200	184.491	59.9447	132.34
2	5005	260.746	84.7216	148.3
5	5225	273.757	88.949	132.72
29	9695	260.024	84.4868	130.63
53	1940	265.445	86.2482	103.46
53	1940	263.818	85.7198	103.46
63	13025	202.922	65.9334	191.85
16	21540	121.188	61.7485	-47.89
84	16490	123.617	62.9862	-19.77
57	455	135.01	68.7909	-3.43
7	20680	168.699	85.9563	-61.38
96	6750	178.429	90.9139	-35.54
96	6747.5	178.223	90.8091	-35.54
96	6750	176.185	89.7709	-35.54
96	6750	178.429	90.9139	-22.62
96	6747.5	178.223	90.8091	-22.62
96	6750	176.185	89.7709	-22.62
96	6747.5	178.429	90.9139	-19.39
96	6745	178.223	90.8091	-19.39
96	6747.5	176.185	89.7709	-19.39
-999	9700	246.484	125.59	-45.99
90	1230	226.084	115.196	-37.06
73	2670	242.251	123.433	-8.56
-999	9700	246.484	125.59	-3.24
96	6750	180.121	91.7764	-98.05
96	6750	179.444	91.4314	-98.05
73	2670	210.932	107.475	-73.35
45	4240	212.456	108.252	-68.41
96	6750	180.121	91.7764	-67.27
96	6750	179.444	91.4314	-67.27
64	425	178.65	91.0267	-53.21
-999	9705	246.653	125.676	-77.72
94	4860	226.338	115.325	-54.54
57	460	98.1043	49.9866	-117.14
25	6275	109.165	55.6222	-187.174
96	6755	179.787	91.6061	-148.3
17	5395	172.548	87.9178	-131.58
-999	9705	246.403	125.548	-148.49
-999	9705	246.403	125.548	-112.39
94	4865	201.791	102.817	-186.87
45	4245	200.775	102.3	-156.66
-999	9705	246.314	125.503	-183.45
5	5225	159.218	81.1258	89.69
27	12255	149.907	76.3816	84.94
99	16195	171.92	87.5977	24.14
1	1775	207.607	105.781	8.37
-999	9700	246.314	125.503	34.97
66	11550	240.479	122.53	22.62
-999	1940	255.718	130.295	97.48
-999	1940	254.948	129.903	97.48
-999	1940	254.215	129.529	97.48
-999	1940	253.594	129.213	97.48
-999	1940	253.086	128.954	97.48
-999	1940	242.928	123.778	97.48
-999	1940	242.251	123.433	97.48
-999	1940	241.743	123.174	97.48
-999	1940	255.718	130.295	97.1
-999	1940	254.948	129.903	97.1
-999	1940	254.215	129.529	97.1
-999	1940	253.594	129.213	97.1
-999	1940	253.086	128.954	97.1
-999	1940	242.928	123.778	97.1
-999	1940	242.251	123.433	97.1
-999	1940	241.743	123.174	97.1
-999	1940	255.718	130.295	96.1975
-999	1940	254.948	129.903	96.1975
-999	1940	254.215	129.529	96.1975
-999	1940	253.594	129.213	96.1975
-999	1940	253.086	128.954	96.1975
-999	1940	242.928	123.778	96.1975
-999	1940	242.251	123.433	96.1975
-999	1940	241.743	123.174	96.1975
-999	1940	255.718	130.295	95.58
-999	1940	254.948	129.903	95.58
-999	1940	254.215	129.529	95.58
-999	1940	253.594	129.213	95.58
-999	1940	253.086	128.954	95.58
-999	1940	242.928	123.778	95.58
-999	1940	242.251	123.433	95.58
-999	1940	241.743	123.174	95.58
-999	1940	255.718	130.295	93.0236
-999	1940	254.948	129.903	93.0236
-999	1940	254.215	129.529	93.0236
-999	1940	253.594	129.213	93.0236
-999	1940	253.086	128.954	93.0236
-999	1940	242.928	123.778	93.0236
-999	1940	242.251	123.433	93.0236
-999	1940	241.743	123.174	93.0236
-999	1940	255.718	130.295	92.54
-999	1940	254.948	129.903	92.54
-999	1940	254.215	129.529	92.54
-999	1940	253.594	129.213	92.54
-999	1940	253.086	128.954	92.54
-999	1940	242.928	123.778	92.54
-999	1940	242.251	123.433	92.54
-999	1940	241.743	123.174	92.54
26	7635	249.023	126.884	78.29
-999	9700	245.976	125.331	74.68
9	3945	106.433	54.2305	127.4
5	5225	163.62	83.3685	146.78
99	16200	160.434	81.7453	129.87
2	5005	136.957	69.7829	107.45
19	5005	156.753	79.8697	155.71
2	5005	219.839	112.014	135.38
29	9695	246.822	125.762	124.17
29	9695	246.243	125.467	124.17
-999	9695	246.822	125.762	123.6
29	9695	246.243	125.467	123.6
-999	9695	246.822	125.762	108.02
29	9695	246.243	125.467	108.02
63	13025	178.767	91.0864	184.4
57	460	109.674	79.6831	-49.41
16	21540	98.4533	71.5305	-45.99
84	16490	111.732	81.1779	-11.4771
96	6750	153.636	111.623	-23.19
96	6747.5	153.022	111.177	-23.19
96	6750	152.099	110.507	-23.19
96	6747.5	153.636	111.623	-20.34
96	6745	153.022	111.177	-20.34
96	6747.5	152.099	110.507	-20.34
57	455	132.757	96.4536	-3.05
96	6747.5	153.636	111.623	-2.29
96	6745	153.022	111.177	-2.29
96	6747.5	152.099	110.507	-2.29
64	425	184.086	133.746	-48.65
90	1230	231.997	168.555	-30.41
45	4240	185.764	134.965	-65.75
7	20680	161.856	117.595	-58.91
94	4860	191.984	139.484	-51.88
73	2670	208.124	151.211	-71.45
57	460	94.964	68.9954	-116.38
17	5395	140.023	101.732	-125.5
96	6755	178.457	129.657	-190.1
96	6755	157.245	114.245	-190.1
94	4865	171.54	124.631	-181.55
45	4245	175.998	127.87	-155.14
96	6755	178.457	129.657	-154
96	6755	157.245	114.245	-154
5	5225	125.199	90.9627	38.58
50	645	127.505	92.6379	25.85
99	16195	144.106	104.699	22.24
66	11555	102.368	74.3751	92.16
66	11555	97.4696	70.8158	92.16
48	5207.5	94.6566	68.7721	82.47
23	2315	84.8881	61.6748	55.87
66	11555	102.368	74.3751	51.69
66	11555	97.4696	70.8158	51.69
5	5225	143.03	103.917	92.73
27	12255	137.343	99.7854	82.66
66	11555	188.045	136.623	45.23
66	11555	176.373	128.143	45.23
66	11555	188.045	136.623	35.35
66	11555	176.373	128.143	35.35
48	5205	169.451	123.113	8.18
85	2500	218.33	158.626	28.51
1	1775	211.352	153.556	6.85
66	11555	180.84	131.388	82.85
48	5207.5	175.584	127.57	72.02
53	1940	211.919	153.968	96.91
23	2320	217.895	158.31	74.87
26	7635	226.108	164.277	74.68
9	3945	111.701	81.1556	138.576
66	11560	107.555	78.1431	118.47
99	16200	135.268	98.2777	127.78
63	13025	151.638	110.172	177.56
5	5225	147.334	107.045	152.86
66	11560	175.306	127.367	118.28
29	9695	220.083	159.899	120.75
19	5005	162.625	118.154	154.76
94	4860	155.574	155.574	-49.03
96	6750	141.602	141.602	-39.34
96	6750	139.452	139.452	-39.34
96	6747.5	138.78	138.78	-39.34
96	6750	141.602	141.602	-23.76
96	6750	139.452	139.452	-23.76
96	6747.5	138.78	138.78	-23.76
96	6747.5	141.602	141.602	-20.15
96	6745	140.101	140.101	-20.15
96	6747.5	139.452	139.452	-20.15
96	6745	138.78	138.78	-20.15
96	6747.5	141.602	141.602	-3.24
96	6745	140.101	140.101	-3.24
96	6747.5	139.452	139.452	-3.24
96	6745	138.78	138.78	-3.24
64	425	180.026	180.026	-43.9
96	6750	142.094	142.094	-72.59
45	4240	156.862	156.862	-63.28
7	20680	148.454	148.454	-56.44
73	2670	194.484	194.484	-69.36
57	460	89.1414	89.1414	-115.24
17	5395	108.977	108.977	-120.37
-999	3765	133.483	133.483	-107.852
-999	3765	131.541	131.541	-107.852
96	6755	149.162	149.162	-143.36
96	6755	149.162	149.162	-140.32
96	6755	149.162	149.162	-100.61
96	6755	164.891	164.891	-195.23
96	6755	149.513	149.513	-195.23
94	4865	139.251	139.251	-175.85
96	6755	164.891	164.891	-158.37
96	6755	149.513	149.513	-158.37
45	4245	148.991	148.991	-153.62
96	6755	200.178	200.178	-171.1
27	12255	119.236	119.236	80.95
66	11560	153.424	153.424	35.54
66	11555	182.041	182.041	43.14
66	11555	174.517	174.517	43.14
66	11555	182.041	182.041	37.25
66	11555	174.517	174.517	37.25
48	5205	190.442	190.442	5.52
1	1775	202.865	202.865	4.95
23	2320	148.604	148.604	69.36
66	11560	154.499	154.499	61.19
53	1940	181.101	181.101	93.3
53	1940	180.698	180.698	93.3
66	11555	176.398	176.398	77.91
26	7635	197.894	197.894	71.45
48	5205	188.572	188.572	64.42
66	11560	83.7674	83.7674	119.42
99	16200	110.1	110.1	125.5
48	5210	76.5722	76.5722	174.33
63	13025	123.535	123.535	170.72
63	13025	123.238	123.238	170.72
66	11560	157.589	157.589	103.27
29	9695	186.508	186.508	116.95
66	11560	173.174	173.174	114.86
5	5225	140.989	140.989	160.08
48	5210	160.948	160.948	157.04
19	5005	157.724	157.724	153.62
57	460	92.3029	127.044	-47.32
94	4860	119.311	164.218	-46.56
57	455	114.357	157.398	-7.42
57	455	114.357	157.398	-6.85
57	455	114.357	157.398	-4.95
57	455	114.357	157.398	-2.1
57	455	114.357	157.398	-1.34
64	425	164.165	225.954	-38.58
45	4240	126.418	173.999	-61
7	20680	128.093	176.305	-54.16
73	2670	169.973	233.947	-67.08
90	1235	64.2235	88.3961	-125.5
17	5395	80.8202	111.239	-115.81
57	460	79.9065	109.982	-113.91
30	3765	92.4544	127.253	-128.647
99	16195	-190.55	-97.09	4.19
26	7640	-3.77164e-14	234.534	189.72
12	4500	-3.53977e-14	220.116	180.22
80	1060	-254.381	-129.613	7.04
99	16200	-179.444	-91.4314	90.07
19	5005	-4.4548e-14	277.015	144.5
48	5210	-3.91586e-14	243.502	123.98
52	3320	-105.384	-53.6957	173.19
94	4860	-19.67	124.191	-152.67
32	13615	-135.829	-98.6858	-39.53
94	4855	-119.512	-86.8306	-20.72
57	465	-24.4684	154.487	-156.85
7	20685	-82.7746	-60.1392	-84.37
32	13615	-113.825	-82.6984	-77.91
32	13615	-109.06	-79.2364	-77.91
32	13615	-76.3186	-55.4487	-77.91
32	13615	-75.3323	-54.7321	-77.91
32	13615	-113.825	-82.6984	-76.4185
32	13615	-109.06	-79.2364	-76.4185
32	13615	-76.3186	-55.4487	-76.4185
32	13615	-75.3323	-54.7321	-76.4185
32	13615	-113.825	-82.6984	-74.87
32	13615	-109.06	-79.2364	-74.87
32	13615	-76.3186	-55.4487	-74.87
32	13615	-75.3323	-54.7321	-74.87
32	13615	-113.825	-82.6984	-72.1117
32	13615	-109.06	-79.2364	-72.1117
32	13615	-76.3186	-55.4487	-72.1117
32	13615	-75.3323	-54.7321	-72.1117
32	13615	-113.825	-82.6984	-56.8986
32	13615	-109.06	-79.2364	-56.8986
32	13615	-76.3186	-55.4487	-56.8986
32	13615	-75.3323	-54.7321	-56.8986
45	4245	-29.5888	186.816	-144.88
17	5395	-126.245	-91.7221	-75.82
32	13615	-118.282	-85.9371	-64.42
32	13615	-116.284	-84.4853	-64.42
32	13615	-118.282	-85.9371	-55.11
32	13615	-116.284	-84.4853	-55.11
57	460	-30.8958	195.068	-104.98
16	21535	-170.716	-124.033	-19.96
57	455	-162.778	-118.265	-16.92
62	10975	-207.509	-150.764	-49.79
7	20680	-198.286	-144.063	-28.7
57	460	-157.859	-114.692	-81.52
71	450	-169.695	-123.291	-76.96
87	1120	-107.238	-77.913	34.97
58	6495	-21.742	137.274	149.63
27	12255	-134.883	-97.9985	51.88
19	5000	-142.262	-103.359	50.36
12	4500	-32.3671	204.358	140.13
48	5210	-30.311	191.376	115.24
99	16195	-187.68	-136.357	3.24
26	7640	-36.4985	230.443	187.63
12	4500	-32.0698	202.481	186.49
63	13025	-163.449	-118.753	89.88
99	16200	-175.998	-127.87	87.41
19	5005	-42.8294	270.414	142.6
