,muonID1,muonID2,x1,x1_normed,y1,y1_normed,z1,z1_normed,p1,t1_normed,t1,x2,x2_normed,y2,y2_normed,z2,z2_normed,t2_normed,t2,label
3236,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.085185185,1925,1
3882,1,1,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.121118466,0.085185185,1925,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.085185185,1925,1
1944,1,1,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.106061119,0.085185185,1925,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.085185185,1925,1
2590,1,1,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.09148621976,0.085185185,1925,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.085185185,1925,1
1298,1,1,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.07829927427,0.085185185,1925,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.085185185,1925,1
6,1,1,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.0670591686,0.085185185,1925,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.085185185,1925,1
652,1,1,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.0577283115,0.085185185,1925,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.085185185,1925,1
4527,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.085185185,1925,1
3881,1,1,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.121118466,0.085185185,1925,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.085185185,1925,1
1942,1,1,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.106061119,0.085185185,1925,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.085185185,1925,1
2588,1,1,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.09148621976,0.085185185,1925,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.085185185,1925,1
1296,1,1,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.07829927427,0.085185185,1925,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.085185185,1925,1
4,1,1,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.0670591686,0.085185185,1925,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.085185185,1925,1
650,1,1,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.0577283115,0.085185185,1925,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.085185185,1925,1
4528,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.085185185,1925,1
3235,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.085185185,1925,1
1943,1,1,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.106061119,0.085185185,1925,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.085185185,1925,1
2589,1,1,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.09148621976,0.085185185,1925,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.085185185,1925,1
1297,1,1,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.07829927427,0.085185185,1925,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.085185185,1925,1
5,1,1,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.0670591686,0.085185185,1925,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.085185185,1925,1
651,1,1,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.0577283115,0.085185185,1925,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.085185185,1925,1
4525,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.085185185,1925,1
3233,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.085185185,1925,1
3879,1,1,207.607,0.858848719,105.781,0.68014391,8.37,0.515808353,0.121118466,0.085185185,1925,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.085185185,1925,1
2587,1,1,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.09148621976,0.085185185,1925,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.085185185,1925,1
1294,1,1,150.154,0.758018603,0,0.49449807,13.12,0.527978478,0.07829927427,0.085185185,1925,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.085185185,1925,1
2,1,1,126.677,0.716816427,-20.0637,0.459286241,14.64,0.531872918,0.0670591686,0.085185185,1925,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.085185185,1925,1
648,1,1,104.591,0.678055458,-33.9837,0.434856616,15.97,0.535280553,0.0577283115,0.085185185,1925,193.947,0.834875395,63.0173,0.605093542,9.89,0.519702793,0.085185185,1925,1
4526,1,1,202.865,0.850526501,202.865,0.850526501,4.95,0.507045862,0.1490582515,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
3234,1,1,211.352,0.8654212,153.556,0.763989119,6.85,0.511913912,0.1357584945,0.085185185,1925,173.565,0.799104949,27.4901,0.542743243,11.6,0.524084038,0.085185185,1925,1
